Ozone,Solar.R,Wind,Temp,id
13.0,27.0,10.3,76,141
13.0,137.0,10.3,76,51
91.0,189.0,4.6,93,127
61.0,285.0,6.3,84,79
10.0,264.0,14.3,73,73
19.0,99.0,13.8,59,8
7.0,48.0,14.3,80,76
23.0,148.0,8.0,82,44
6.0,78.0,18.4,57,18
16.0,201.0,8.0,82,143
73.0,183.0,2.8,93,126
30.0,193.0,6.9,70,149
13.0,238.0,12.6,64,144
59.0,51.0,6.3,79,109
110.0,207.0,8.0,90,101
37.0,279.0,7.4,76,31
18.0,65.0,13.2,58,15
97.0,267.0,6.3,92,69
39.0,83.0,6.9,81,93
7.0,49.0,10.3,69,147
18.0,313.0,11.5,62,4
11.0,290.0,9.2,66,13
9.0,36.0,14.3,72,114
23.0,220.0,10.3,78,131
49.0,248.0,9.2,85,63
20.0,223.0,11.5,68,153
12.0,120.0,11.5,73,50
76.0,203.0,9.7,97,120
32.0,92.0,15.5,84,129
9.0,24.0,13.8,81,94
82.0,213.0,7.4,88,89
30.0,322.0,11.5,68,19
20.0,81.0,8.6,82,87
45.0,212.0,9.7,79,116
21.0,230.0,10.9,75,132
20.0,37.0,9.2,65,49
44.0,236.0,14.9,81,134
1.0,8.0,9.7,59,21
36.0,118.0,8.0,72,2
108.0,223.0,8.0,85,86
39.0,323.0,11.5,87,41
4.0,25.0,9.7,61,23
118.0,225.0,2.3,94,121
135.0,269.0,4.1,84,62
24.0,238.0,10.3,68,142
80.0,294.0,8.6,86,85
65.0,157.0,9.7,80,106
21.0,259.0,15.5,76,135
21.0,259.0,15.5,77,113
23.0,14.0,9.2,71,145
78.0,197.0,5.1,92,125
11.0,44.0,9.7,62,20
18.0,224.0,13.8,67,140
32.0,92.0,12.0,61,24
28.0,273.0,11.5,82,105
37.0,284.0,20.7,72,48
73.0,215.0,8.0,86,118
23.0,299.0,8.6,65,7
64.0,253.0,7.4,83,91
13.0,112.0,11.5,71,138
16.0,256.0,9.7,69,12
97.0,272.0,5.7,92,70
44.0,192.0,11.5,86,104
71.0,291.0,13.8,90,40
46.0,237.0,6.9,78,139
85.0,188.0,6.3,94,123
27.0,175.0,14.9,81,74
14.0,20.0,16.6,63,148
77.0,276.0,5.1,88,68
40.0,314.0,10.9,83,67
9.0,24.0,10.9,71,137
32.0,236.0,9.2,81,64
16.0,77.0,7.4,82,95
44.0,190.0,10.3,78,112
52.0,82.0,12.0,86,88
16.0,7.0,6.9,74,82
45.0,252.0,14.9,81,29
64.0,175.0,4.6,83,66
12.0,149.0,12.6,74,3
14.0,191.0,14.3,75,151
36.0,139.0,10.3,81,146
48.0,260.0,6.9,81,77
14.0,334.0,11.5,64,16
35.0,274.0,10.3,82,78
14.0,274.0,10.9,68,14
79.0,187.0,5.1,87,80
41.0,190.0,7.4,67,1
24.0,259.0,9.7,73,133
84.0,237.0,6.3,96,122
